3 benefits of automated performance issue remediation (Ansible focus),External,checklist,3 benefits of automated performance issue remediation (Ansible focus),3 benefits of automated performance issue remediation (Ansible focus),,,,,,,,,,,,,,,,,,,,,
A Sysadmin's Unixersal Translator,External,application,Os command translator,http://bhami.com/rosetta.html,,,,,,,,,,,,,,,,Rosetta Stone for Unix,,,,,
Accessing IBM Partner Plus,Internal,presintation,IBM Partner Plus (formerly PartnerWorld) is IBM’s premiere partner program empowering Business Partners with the tools and resources to help transform clients into industry leaders.,https://docs.google.com/presentation/d/1gjXHR6ApbrGlgnvWpVyzERtGn69otNTMMIXpyTGpNYY/edit#slide=id.g659efffd69_1_0,,,,,,,,,,,,,,,,HTTP error: 401,,,,,
Animated explainer video: Tame hybrid cloud complexity with intelligent automation,External,video,Animated explainer video: Tame hybrid cloud complexity with intelligent automation,Animated explainer video: Tame hybrid cloud complexity with intelligent automation,,,,,,,,,,,,,,,,,,,,,
Ansible Job Fail cannot re-exec process,External,,Why does a Job Fail with `Error: cannot re-exec process` in Ansible Automation Platform?,https://access.redhat.com/solutions/6212371,,,,,,,,,,,,,,,,Why does a Job Fail with `Error: cannot re-exec process` in Ansible Automation Platform? - Red Ha...,,,,,
Ansible Launch Team info,Internal,,Ansible Launch Team info,https://source.redhat.com/departments/sales/global_gtm_sales_specialists_team/global_solution_architecture_adoption/specialist_adoption_architect,,,,,,,,,,,,,,,,The Source,,,,,
Ansible Launch Team Request,Internal,,Ansible Launch Team Request,https://app.smartsheet.com/b/form/a84dd90daad245b2a5579ea877bcee4f,,,,,,,,,,,,,,,,Smartsheet.com,,,,,
Ansible Mesh Network,External,,Peeling back the layers and understanding automation mesh,https://www.ansible.com/blog/peeling-back-the-layers-and-understanding-automation-mesh,,,,,,,,,,,,,,,,Peeling back the layers and understanding automation mesh,,,,,
Ansible Network Ports,External,,,https://access.redhat.com/documentation/en-us/red_hat_ansible_automation_platform/2.2/html/red_hat_ansible_automation_platform_installation_guide/planning-installation#ref-network-ports-protocols_planning,,,,,,,,,,,,,,,,Chapter 1. Planning your Red Hat Ansible Automation Platform installation | Red Hat Ansible Autom...,,,,,
Ansible Ports,External,,What Ports Need To Be Opened In The Firewall For Ansible Automation Platform 2 Services?,https://access.redhat.com/solutions/6756251,,,,,,,,,,,,,,,,What Ports Need To Be Opened In The Firewall For Ansible Automation Platform 2 Services? - Red Ha...,,,,,
Ansible Tiger Team Request,Internal,,Ansible Tiger Team Request,https://docs.google.com/forms/d/e/1FAIpQLSfkdXBM176wezjrw-mmdIcjSCD9NWCwywWLukQC8SdEuvNYkA/viewform?pli=1,,,,,,,,,,,,,,,,HTTP error: 401,,,,,
Audacity - software mixing,External,Video Editing,Audacity is the world's most popular audio editing and recording app,https://www.audacityteam.org/,,,,,,,,,,,,,,,,"Audacity ® | Free Audio editor, recorder, music making and more!",,,,,
Audiate (paid),External,Video Editing,SIMPLE AND POWERFUL AI TEXT-BASED AUDIO EDITING,https://www.techsmith.com/audiate.html,,,,,,,,,,,,,,,,Camtasia Audiate – AI Audio and Video Editing | TechSmith,,,,,
Automate intelligent IT operations,External,ebook,Automate intelligent IT operations,Automate intelligent IT operations,,,,,,,,,,,,,,,,,,,,,
Bridging observability and automation with Event-Driven Ansible (Dynatrace example from Summit),External,demo,Bridging observability and automation with Event-Driven Ansible (Dynatrace example from Summit),Bridging observability and automation with Event-Driven Ansible (Dynatrace example from Summit),,,,,,,,,,,,,,,,,,,,,
"Build, deploy, and manage applications with Red Hat OpenShift Service on AWS and Dynatrace unified observability and automated response",External,Overview,"Build, deploy, and manage applications with Red Hat OpenShift Service on AWS and Dynatrace unified observability and automated response","Build, deploy, and manage applications with Red Hat OpenShift Service on AWS and Dynatrace unified observability and automated response",,,,,,,,,,,,,,,,,,,,,
Camtasia (paid),External,Video Editing,"Make professional-quality videos quickly and easily with Camtasia. Record your screen or upload an existing video, then bring the “Wow!” with effects, music, and much more.",https://www.techsmith.com/video-editor.html,,,,,,,,,,,,,,,,Camtasia – Free Screen Recorder & Video Editor,,,,,
Christian Posta Kube Demos,External,git,"Kubernetes demos

To run these demos you need 'pv' and 'tmux' installed.",https://github.com/christian-posta/kube-demos,,,,,,,,,,,,,,,,GitHub - christian-posta/kube-demos: Kubernetes demos,,,,,
Cinelerra GG,External,Video Editing,FREE Video editing in an appimage platform for all OS ,"https://www.cinelerra-gg.org/
https://cinelerra-gg.org/download/images/?C=M;O=D",,,,,,,,,,,,,,,,Cinelerra GG Infinity free video editing software for linux,,,,,
Demo Master Script,External,Video Editing,This script lets you script demos in bash. It runs through your demo script when you press a key. It simulates typing and runs commands. demo-magic,"https://github.com/anurag-saran/mynotes/blob/master/openshift/os-demo/demo-master.sh
Notes: https://github.com/anurag-saran/mynotes/blob/master/openshift/os-demo/os32-demo.sh",,,,,,,,,,,,,,,,mynotes/openshift/os-demo/demo-master.sh at master · anurag-saran/mynotes · GitHub,,,,,
DoE Intelligent Automation with Red Hat and Dynatrace Virtual Event,External,webinar,DoE Intelligent Automation with Red Hat and Dynatrace Virtual Event,DoE Intelligent Automation with Red Hat and Dynatrace Virtual Event,,,,,,,,,,,,,,,,,,,,,
Doitlive,External,git,Doitlive is a tool for live presentations in the terminal. It reads a file of shell commands and replays the commands in a fake terminal session as you type random characters.,https://doitlive.readthedocs.io/en/stable/,,,,,,,,,,,,,,,,doitlive — doitlive 5.1.0 documentation,,,,,
Doitlive Code,External,Demo Tool,"Doitlive is a tool for live presentations in the terminal. It reads a file of shell commands and replays the commands in a fake terminal session as you type random characters.

",https://github.com/sloria/doitlive,,,,,,,,,,,,,,,,GitHub - sloria/doitlive: Because sometimes you need to do it live,,,,,
Draw.io,Internal/External,diagram,App or on web diagraming tool ,https://app.diagrams.net/,,,,,,,,,,,,,,Invalid URL format,,Flowchart Maker & Online Diagram Software,,,,,
Dynatrace & Red Hat – Unveiling the Automated Remediation Revolution (written by Michael Siebert),External,blog,Dynatrace & Red Hat – Unveiling the Automated Remediation Revolution (written by Michael Siebert),Dynatrace & Red Hat – Unveiling the Automated Remediation Revolution (written by Michael Siebert),,,,,,,,,,,,,,,,,,,,,
Dynatrace and Red Hat expand enterprise observability to edge computing,External,blog,Dynatrace and Red Hat expand enterprise observability to edge computing,Dynatrace and Red Hat expand enterprise observability to edge computing,,,,,,,,,,,,,,,,,,,,,
Dynatrace enables automated remediation with the Red Hat Ansible Automation Platform (written by Kevin Holmes),External,blog,Dynatrace enables automated remediation with the Red Hat Ansible Automation Platform (written by Kevin Holmes),Dynatrace enables automated remediation with the Red Hat Ansible Automation Platform (written by Kevin Holmes),,,,,,,,,,,,,,,,,,,,,
Dynatrace establishes leadership in hybrid cloud monitoring,External,partner case study,Dynatrace establishes leadership in hybrid cloud monitoring,Dynatrace establishes leadership in hybrid cloud monitoring,,,,,,,,,,,,,,,,,,,,,
Dynatrace observability is now available for Red Hat OpenShift on the IBM® Power® architecture,External,blog,Dynatrace observability is now available for Red Hat OpenShift on the IBM® Power® architecture,Dynatrace observability is now available for Red Hat OpenShift on the IBM® Power® architecture,,,,,,,,,,,,,,,,,,,,,
Dynatrace partner page on redhat.com,External,webpage,Dynatrace partner page on redhat.com,Dynatrace partner page on redhat.com,,,,,,,,,,,,,,Invalid URL format,Invalid URL format,Invalid URL format,,,,,
"Easy2Boot – Make a versatile, multiboot Legacy\UEFI USB drive for free (includes Ventoy)",External,Hardware,"E2B includes 3 different multiboot menu systems based on grub4dos, grubfm and Ventoy. You can boot to almost anything from one USB flash or USB hard/SSD drive. Install Windows 98/XP/Windows 7/8/10/11 and Linux from ISOs, boot from Linux ISOs, boot Windows or Linux VHDs, run DOS programs, floppy images, etc.. Download E2B here – Both Legacy and UEFI are supported – E2B has been used by amateurs and professionals for over 10 years and has been downloaded over 1.5 million times in the last 2 years alone. EBooks (PDFs), a User Forum and free online live help from the developer are also available,",https://easy2boot.xyz/,,,,,,,,,,,,,,,,"Easy2Boot – The USB multiboot solution (legacy, UEFI, Secure Boot)",,,,,
Elgato software,External,Video Editing,Audio Hardware/Software ,https://www.elgato.com/us/en,,,,,,,,,,,,,,,,Elgato,,,,,
"Ensure quality, real-time IT Ops with intelligent automation",External,Overview,"Ensure quality, real-time IT Ops with intelligent automation","Ensure quality, real-time IT Ops with intelligent automation",,,,,,,,,,,,,,,,,,,,,
"Followup Document ""Tips and Tricks""",Internal,customer doc,,https://docs.google.com/document/d/1sFyHypeWyDQjaWPm96eqknHeoWo0erRW-lbbZlzQHeo/edit#heading=h.je323ujs4pzf,,,,,,,,,,,,,,,,HTTP error: 401,,,,,
Freeconference,External,Meeting,Free Conference Call,https://www.freeconference.com/,,,,,,,,,,,,,,,,Free Conference Call Services | FreeConference.com,,,,,
Gimp ,External,Video Editing,OpenSource Photoshop clone,https://www.gimp.org/,,,,,,,,,,,,,,,,GIMP - GNU Image Manipulation Program,,,,,
goconsensus,External,,Demo Platform ,https://goconsensus.com/,,,,,,,,,,,,,,,,Interactive Product Demos: AI Demo Automation by Consensus,,,,,
Google Authenticator,External,auth,Google authenticator,https://play.google.com/store/apps/details?id=com.google.android.apps.authenticator2&hl=en_us ,,,,,,,,,,,,,,,,Google Authenticator - Apps on Google Play,,,,,
